Сдам малосимейку	Только русские, агенты не звонить.	2024-02-02T14:57:59.027Z	Hamburg	sarai.jpg	sarai.jpg,tabor.jpg	true	true	5	Room	5	1	49446	Laptop friendly workspace,Baby seat,Washer,Towels,Fridge	Олег	rolan@pochta.local	photo.jpg	d34dc8e8-201a-44e0-b1c9-d234f76146a4	Default	51	5
Сдам малосимейку	Комуналку платит хозяин, майнеры мимо.	2024-02-01T14:57:59.028Z	Brussels	shalash.jpg	tabor.jpg,shalash.jpg,pyatno.png	false	false	3	House	3	3	42672	Washer,Towels,Fridge	Джон	freedom@pisem.local	smite.jpg	0ffa68a2-ee32-4905-a345-5e0f3324363f	Pro	49	9
Уютная студия сдам	Комуналку платит хозяин, майнеры мимо.	2024-02-04T14:57:59.028Z	Brussels	tabor.jpg	tabor.jpg,shalash.jpg,pyatno.png	true	false	0	Room	8	8	6467	Washer,Towels,Fridge	Иван	freedom@pisem.local	awesome-avatar.jpg	831991fe-7e51-4a6c-8309-122a670e044b	Pro	48	6
Сдам малосимейку	Я устал уже писать дескриптион а тут еще 3 предложения.	2024-02-02T14:57:59.028Z	Amsterdam	sarai.jpg	shalash.jpg,pyatno.png	true	false	1	Room	1	6	81926	Air conditioning,Laptop friendly workspace	Холи	freedom@pisem.local	coffee.jpg	3eef25e3-5127-4640-936d-10eaf5c39c21	Pro	50	7
Сдам гостинку	Комуналку платит хозяин, майнеры мимо.	2024-02-05T14:57:59.028Z	Dusseldorf	pyatno.png	shalash.jpg,pyatno.png	true	false	3	Hotel	4	1	11706	Laptop friendly workspace,Baby seat,Washer,Towels	Пьер	rolan@pochta.local	awesome-avatar.jpg	4f97c576-d288-4f9a-a5fc-010c80430aa1	Pro	51	5
Сдам малосимейку	Приедь на офис и подпиши документы.	2024-01-31T14:57:59.028Z	Dusseldorf	single-room.jpg	shalash.jpg,pyatno.png	false	false	4	Hotel	1	5	51866	Air conditioning,Laptop friendly workspace,Baby seat,Washer,Towels,Fridge	Рокки	freedom@pisem.local	roland.jpg	bc5a1f8c-c2e1-472d-93c9-98623ae32dcc	Pro	52	3
Двушка для семьи	Вах какая комната сдам.	2024-02-04T14:57:59.028Z	Amsterdam	sarai.jpg	pyatno.png	false	true	0	Room	6	2	93999	Air conditioning,Laptop friendly workspace,Baby seat,Washer	Пьер	rolan@pochta.local	photo.jpg	be135da8-a6e0-4325-b3ee-e80b09429c89	Default	48	9
Сдам гостинку	Приедь на офис и подпиши документы.	2024-02-04T14:57:59.029Z	Hamburg	shalash.jpg	beautiful.jpg,sarai.jpg,tabor.jpg,shalash.jpg,pyatno.png	false	true	2	House	8	1	44662	Towels,Fridge	Роланд	kujo-fan@story.local	photo.jpg	9d585e93-48b9-4a56-b246-dcefffa9def3	Pro	52	5
Двушка для семьи	Комуналку платит хозяин, майнеры мимо.	2024-02-03T14:57:59.029Z	Amsterdam	shalash.jpg	pyatno.png	false	false	4	Apartment	4	4	90188	Baby seat,Washer,Towels,Fridge	Джон	author@mir.local	roland.jpg	ee00154f-e1c9-4133-8766-59446c0d9c85	Default	52	5
Сдам гостинку	Вах какая комната сдам.	2024-02-01T14:57:59.029Z	Hamburg	beautiful.jpg	sarai.jpg,tabor.jpg,shalash.jpg,pyatno.png	false	false	2	Room	2	5	5447	Towels,Fridge	Антон	rolan@pochta.local	photo.jpg	310d4f47-df32-4e37-b043-b5c1cef736dc	Pro	52	4
